,Date,Followers - (change),Following - (change),Posts - (change),Influence - (change)
282,"May 30, 2020","18,364,894 - (+306)","3,789 - (0)","1,987 - (0)",0.75% - (0.00%)
283,"May 30, 2020","18,364,588 - (+260)","3,789 - (+1)","1,987 - (0)",0.75% - (0.00%)
284,"May 29, 2020","18,364,328 - (+74)","3,788 - (0)","1,987 - (0)",0.75% - (+0.01%)
285,"May 29, 2020","18,364,254 - (+295)","3,788 - (0)","1,987 - (0)",0.74% - (0.00%)
286,"May 29, 2020","18,363,959 - (+146)","3,788 - (0)","1,987 - (0)",0.74% - (0.00%)
287,"May 29, 2020","18,363,813 - (+87)","3,788 - (0)","1,987 - (0)",0.74% - (0.00%)
288,"May 29, 2020","18,363,726 - (+42)","3,788 - (0)","1,987 - (0)",0.74% - (+0.01%)
289,"May 29, 2020","18,363,684 - (+123)","3,788 - (0)","1,987 - (0)",0.73% - (0.00%)
290,"May 29, 2020","18,363,561 - (+94)","3,788 - (0)","1,987 - (0)",0.73% - (+0.01%)
291,"May 29, 2020","18,363,467 - (-73)","3,788 - (0)","1,987 - (+1)",0.72% - (-0.03%)
292,"May 29, 2020","18,363,540 - (+138)","3,788 - (0)","1,986 - (0)",0.75% - (0.00%)
293,"May 29, 2020","18,363,402 - (+1,766)","3,788 - (0)","1,986 - (0)",0.75% - (0.00%)
294,"May 29, 2020","18,361,636 - (+57)","3,788 - (0)","1,986 - (0)",0.75% - (0.00%)
295,"May 29, 2020","18,361,579 - (-1,696)","3,788 - (0)","1,986 - (0)",0.75% - (0.00%)
296,"May 29, 2020","18,363,275 - (+11)","3,788 - (0)","1,986 - (0)",0.75% - (0.00%)
297,"May 29, 2020","18,363,264 - (+1,629)","3,788 - (0)","1,986 - (0)",0.75% - (0.00%)
298,"May 29, 2020","18,361,635 - (+399)","3,788 - (0)","1,986 - (0)",0.75% - (+0.01%)
